dep,dep_name,gender,year,n_orp
99,Vichada,Female,2019,110.22741724870724
99,Vichada,Female,2020,239.22397087801474
99,Vichada,Female,2021,128.78010844158058
99,Vichada,Male,2015,326.1962095051192
99,Vichada,Male,2016,264.1978432965672
99,Vichada,Male,2017,396.38286159501666
99,Vichada,Male,2018,346.33001899229134
99,Vichada,Male,2019,407.84144382021674
99,Vichada,Male,2020,402.3312237493884
99,Vichada,Male,2021,407.80367673167183
18,Caquetá,Female,2015,127.62449585291229
18,Caquetá,Female,2016,130.21628535874163
18,Caquetá,Female,2017,123.53539532962971
18,Caquetá,Female,2018,118.45679390560218
18,Caquetá,Female,2019,121.53845691208836
18,Caquetá,Female,2020,141.38750436917607
18,Caquetá,Female,2021,168.41154033807317
18,Caquetá,Male,2015,346.85675866773096
18,Caquetá,Male,2016,336.6567377567467
18,Caquetá,Male,2017,355.36480604562314
18,Caquetá,Male,2018,373.34313665420825
18,Caquetá,Male,2019,361.3082018406981
18,Caquetá,Male,2020,467.08371979102805
18,Caquetá,Male,2021,493.14353606687064
86,Putumayo,Female,2015,97.77809240380263
86,Putumayo,Female,2016,103.50264518314843
86,Putumayo,Female,2017,183.60034100163173
86,Putumayo,Female,2018,99.53936570127601
86,Putumayo,Female,2019,110.73484927746644
86,Putumayo,Female,2020,125.51563812580092
86,Putumayo,Female,2021,172.95333047844952
86,Putumayo,Male,2015,276.6911976533138
86,Putumayo,Male,2016,278.09801635068163
86,Putumayo,Male,2017,331.52975860866076
86,Putumayo,Male,2018,342.034203420342
86,Putumayo,Male,2019,308.7798681775506
86,Putumayo,Male,2020,402.29371194166964
86,Putumayo,Male,2021,509.53915326585127
91,Amazonas,Female,2015,149.29147098739617
91,Amazonas,Female,2016,63.82895134331027
91,Amazonas,Female,2017,111.78298232231664
91,Amazonas,Female,2018,48.033046736154475
91,Amazonas,Female,2019,123.44262133026567
91,Amazonas,Female,2020,248.83705670923672
91,Amazonas,Female,2021,255.30238553757542
91,Amazonas,Male,2015,432.94526586344887
91,Amazonas,Male,2016,309.3249180483498
91,Amazonas,Male,2017,252.7267426417594
91,Amazonas,Male,2018,211.3454056390797
91,Amazonas,Male,2019,394.06682963123274
91,Amazonas,Male,2020,582.18481192349725
91,Amazonas,Male,2021,608.0838637349524
94,Guainía,Female,2015,201.92867991890606
94,Guainía,Female,2016,135.21449425941697
94,Guainía,Female,2017,138.46907889513147
94,Guainía,Female,2018,110.062893081761
94,Guainía,Female,2019,144.34519182354717
94,Guainía,Female,2020,191.07883705591277
94,Guainía,Female,2021,163.702933414057
94,Guainía,Male,2015,158.0311408061004
94,Guainía,Male,2016,304.2326120836882
94,Guainía,Male,2017,195.48575844018563
94,Guainía,Male,2018,330.188679245283
94,Guainía,Male,2019,212.71923005575374
94,Guainía,Male,2020,308.66581370570526
94,Guainía,Male,2021,163.702933414057
95,Guaviare,Female,2015,152.65419920770213
95,Guaviare,Female,2016,129.92973222134083
95,Guaviare,Female,2017,89.12486760741606
95,Guaviare,Female,2018,131.5002988643156
95,Guaviare,Female,2019,144.32027148619545
95,Guaviare,Female,2020,127.0588768246503
95,Guaviare,Female,2021,145.7200386704082
95,Guaviare,Male,2015,358.15023660268577
95,Guaviare,Male,2016,377.9774028257188
95,Guaviare,Male,2017,433.7410223560915
95,Guaviare,Male,2018,406.4554692169755
95,Guaviare,Male,2019,426.9474698133282
95,Guaviare,Male,2020,363.0253623561437
95,Guaviare,Male,2021,510.02013534642873
97,Vaupés,Female,2015,187.76451658728456
97,Vaupés,Female,2016,139.63910324216184
97,Vaupés,Female,2017,87.67611157792196
97,Vaupés,Female,2018,53.842012152911316
97,Vaupés,Female,2019,73.82076950088518
97,Vaupés,Female,2020,143.76326539827684
97,Vaupés,Female,2021,124.46672742547723
97,Vaupés,Male,2015,170.6950150793496
97,Vaupés,Male,2016,188.92349262174835
97,Vaupés,Male,2017,95.64666717591486
97,Vaupés,Male,2018,223.05976463348972
97,Vaupés,Male,2019,103.34907730123925
97,Vaupés,Male,2020,208.45673482750144
97,Vaupés,Male,2021,221.2741820897373
